STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,Q,Financing source,F,Financing scheme,UNIT,Measurement unit,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation value (DotStat),DIFF_REGION_STATE,Date of spatial reference,DIFF_LAST_UPDATE,Update date,DIFF_EMBARGO_DATE,Date of publication,DIFF_DB_STATE,Database state,MULT,Unit Multiplier,OBS_STATUS,Code list for Observation Status,DECIMALS,Decimals,DIFF_REGION_REF,Spatial reference
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2010,,581.516,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2011,,624.487,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2012,,621.4,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2013,,616.183,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2014,,625.586,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2015,,638.816,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2016,,655.96,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2017,,673.857,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2018,,684.198,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2019,,728.505,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2020,,727.304,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2021,,719.673,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2022,,718.608,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,_T,Total,F_2_2,Old age and survivors insurance,CHF,Swiss franc,A,Annual,2023,,789.825,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,P,Provisional value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,Q_1,Confederation,F_1_1,Confederation,CHF,Swiss franc,A,Annual,2010,,263.039,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,Q_1,Confederation,F_1_1,Confederation,CHF,Swiss franc,A,Annual,2011,,232.285,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,Q_1,Confederation,F_1_1,Confederation,CHF,Swiss franc,A,Annual,2012,,246.493,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,Q_1,Confederation,F_1_1,Confederation,CHF,Swiss franc,A,Annual,2013,,245.918,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
DATAFLOW,CH1.COU:DF_COU_HEALTH_FINANCING(1.0.0),Financing of health care,I,Q_1,Confederation,F_1_1,Confederation,CHF,Swiss franc,A,Annual,2014,,228.164,,2022-01-01,,2025-04-28T08:30,,2025-04-28T08:30,,2025-03-31,,6,Millions,A,Normal value,3,Three,CH,Switzerland
